Absolute Time (s),Current (A),Voltage (V)
2.86102294921875e-06,-3.4e-06,0.02602
0.00020286102294921876,-3.6e-06,0.02625
0.00040286102294921877,-3.5e-06,0.02654
0.0006028610229492187,-3.8e-06,0.02673
0.0008028610229492188,-3.6e-06,0.02715
0.0010028610229492188,-3.7e-06,0.02715
0.0012028610229492186,-3.8e-06,0.02726
0.0014028610229492187,-3.7e-06,0.02774
0.0016028610229492188,-3.8e-06,0.02799
0.0018028610229492187,-3.7e-06,0.02836
0.002002861022949219,-3.3e-06,0.02852
0.002202861022949219,-3.7e-06,0.0287
0.0024028610229492185,-3.1e-06,0.02874
0.0026028610229492186,-3.2e-06,0.0292
0.0028028610229492187,-3.8e-06,0.02942
0.003002861022949219,-3.5e-06,0.02968
0.003202861022949219,-3.2e-06,0.02993
0.0034028610229492186,-3.6e-06,0.0301
0.0036028610229492187,-3.6e-06,0.03025
0.0038028610229492187,-3.5e-06,0.03043
0.004002861022949219,-3.8e-06,0.03083
0.0042028610229492185,-3.5e-06,0.03116
0.004402861022949219,-3.5e-06,0.03136
4.086102294921875e-05,-4e-06,0.03159
0.00024086102294921876,-3.8e-06,0.03196
0.00044086102294921877,-3.9e-06,0.03221
0.0006408610229492188,-3.4e-06,0.03237
0.0008408610229492187,-4e-06,0.03261
0.0010408610229492188,-3.1e-06,0.03266
0.0012408610229492187,2.02e-05,1.37045
0.0014408610229492188,1.97e-05,4.03925
0.0016408610229492187,-3.3e-06,5.00001
0.0018408610229492188,-3.9e-06,4.99998
0.0020408610229492186,-3e-06,5.00004
0.0022408610229492187,-3.7e-06,4.99997
0.002440861022949219,-2.9e-06,5.00002
0.002640861022949219,-3.4e-06,5.00003
0.0028408610229492186,-3.7e-06,5.0
0.0030408610229492187,-3.3e-06,5.0
0.0032408610229492187,-3.3e-06,4.99998
0.003440861022949219,-4.1e-06,5.00001
0.003640861022949219,-3.8e-06,5.00004
0.0038408610229492186,-3.6e-06,4.99999
0.004040861022949219,-3.1e-06,4.99999
0.004240861022949218,-3.3e-06,5.00004
0.004440861022949219,-3.5e-06,4.99997
0.0046408610229492185,-3.5e-06,5.00001
0.004840861022949219,-3.7e-06,5.00002
0.005040861022949219,-3.2e-06,4.99999
0.005240861022949218,-4.2e-06,4.99995
0.005440861022949219,-3.2e-06,5.00006
0.0056408610229492185,-4.3e-06,4.99997
0.005840861022949219,-3.5e-06,5.00005
